SIPARIS_ADEDI,GIYSI_GRUBU,GIYSI_CINSI,GIYSI_CINSI_DETAYI,UretimID,ModelAdi,PersonelNo,ModelTipAdi,OperAdi,MakinaTipi,Uretim,Etut,BirimUretimZamani
22113,ÇOCUK,Elbise,3/4 kol,107437,SBKS24DSPO2-BUB59 ELBISE,3,ELBISE,ARKA V TUTTURMA,DÜZ,1047,18.0,24.38
46432,ÇOCUK,Elbise,Askılı elbise,130864,2218178 ASKILI BÜRÜMCÜK ELBISE,15,ELBISE,ÖN KOL EVI TULUM,OVERLOK,1302,20.0,24.37
14402,ÇOCUK,Sweatshirt,Kapşonsuz,154702,CVKW24SGPAR-CPL95 BASKILI SWEAT,209,T-SHIRT,YAKA TAKMA,OVERLOK,1103,24.0,24.37
12711,ÇOCUK,T-Shirt,Kısa Kol,117957,2225749 KROSE YAKALI SHIRT,535,T-SHIRT,IPLIK TEMIZLEME,IPLIK TEMIZLEME,1285,20.0,24.37
46432,ÇOCUK,Elbise,Askılı elbise,134635,2218178 ASKILI BÜRÜMCÜK ELBISE,343,ELBISE,BEDEN ÜTÜ,ÜTÜ,374,20.0,24.36
9158,BAYAN,T-Shirt,Uzun Kol,140930,CDKW24HBARG -CLP12,597,T-SHIRT,FIRMA ETIKET TAKMA,DÜZ,1306,15.0,24.36
9476,BAYAN,Elbise,uzun kollu elbise,150138,CDKW24DTURQ-CLP18 SIYAH ELBISE,569,ELBISE,YIRTMAÇ ÜSTÜ EMNIYET,DÜZ,219,20.0,24.36
8650,BAYAN,Elbise,Kısa kollu elbise,124613,HVLS24RTURQ CET84 HAMILE ELBISESI,56,ELBISE,ETEK REÇME,REÇME,1156,20.0,24.36
8650,BAYAN,Elbise,Kısa kollu elbise,123850,HVLS24RTURQ CET84 HAMILE ELBISESI,447,ELBISE,TALIMAT TAKMA,DÜZ,1168,20.0,24.36
23502,BAYAN,Bodysuit,Uzun Kollu,161416,2231665 OBONODY ZIBIN,448,T-SHIRT,PILE DIKME,DÜZ,1294,24.0,24.36
46432,ÇOCUK,Elbise,Askılı elbise,135097,2218178 ASKILI BÜRÜMCÜK ELBISE,15,ELBISE,ÖN KOL EVI TULUM,OVERLOK,1306,20.0,24.36
5194,ÇOCUK,Elbise,Kolsuz elbise,127176,2225757-2LI BÜRÜMCEK ELBISE,478,ELBISE,TALIMAT TAKMA,DÜZ,104,18.0,24.36
19349,BAYAN,T-Shirt,Uzun Kol,158784,2226835 CHAIKA BLUZ,467,T-SHIRT,ETEK UCU MENDIL,REÇME,1309,24.0,24.36
22113,ÇOCUK,Elbise,3/4 kol,107665,SBKS24DSPO2-BUB59 ELBISE,3,ELBISE,ARKA V TUTTURMA,DÜZ,1268,18.0,24.35
46432,ÇOCUK,Elbise,Askılı elbise,134638,2218178 ASKILI BÜRÜMCÜK ELBISE,56,ELBISE,ETEK REÇME,REÇME,1491,21.0,24.35
5194,ÇOCUK,Elbise,Kolsuz elbise,125119,2225757-2LI BÜRÜMCEK ELBISE,428,ELBISE,ETEK REÇME,REÇME,1553,23.0,24.35
9158,BAYAN,T-Shirt,Uzun Kol,140072,CDKW24HBARG -CLP12,430,T-SHIRT,KOL KISTIRMA,DÜZ,1519,20.0,24.35
11635,BAYAN,Tulum,Kısa Kollu Tulum,123936,2223370 DILAMON ELBISE,157,ELBISE,YAKA BIYE,REÇME,1026,18.0,24.35
9158,BAYAN,T-Shirt,Uzun Kol,140680,CDKW24HBARG -CLP12,536,T-SHIRT,KOL KISTIRMA,DÜZ,852,20.0,24.34
46432,ÇOCUK,Elbise,Askılı elbise,128992,2218178 ASKILI BÜRÜMCÜK ELBISE,3,ELBISE,ÖN KOL EVI ÇIMA,OVERLOK,1015,21.0,24.34
6412,BEBEK,T-Shirt,Kısa Kol,110180,MSBS24HMACR-BXC21 BABY TSHIRT,74,T-SHIRT,ENSE BIYE TAKMA,REÇME,1309,18.0,24.34
22113,ÇOCUK,Elbise,3/4 kol,105183,SBKS24DSPO2-BUB59 ELBISE,14,ELBISE,OMUZ ÇATMA,OVERLOK,1270,18.0,24.33
46432,ÇOCUK,Elbise,Askılı elbise,137215,2218178 ASKILI BÜRÜMCÜK ELBISE,421,ELBISE,ARKA KOL EVI TULUM,OVERLOK,3,22.5,24.33
4887,ÇOCUK,Sweatshirt,Kapşonlu,150987,2230347 KAPSONLU SWEAT,607,T-SHIRT,KAPSON ORTA TUTTURMA,DÜZ,1087,20.0,24.33
13392,BAYAN,T-Shirt,Kısa Kol,141290,CDKW24HDNDR KIRMIZI TSHIRT,465,T-SHIRT,KOL KISTIRMA,DÜZ,1187,21.0,24.33
46432,ÇOCUK,Elbise,Askılı elbise,130856,2218178 ASKILI BÜRÜMCÜK ELBISE,494,ELBISE,BEDEN ÜTÜ,ÜTÜ,734,20.0,24.32
19824,ÇOCUK,T-Shirt,Kısa Kol,104205,2225249 BUBBLE TEE T-SHIRT,176,T-SHIRT,ENSE GAZI,DÜZ,125,15.0,24.31
8650,BAYAN,Elbise,Kısa kollu elbise,124476,HVLS24RTURQ CET84 HAMILE ELBISESI,535,ELBISE,IPLIK TEMIZLEME,IPLIK TEMIZLEME,1061,20.0,24.31
46432,ÇOCUK,Elbise,Askılı elbise,135104,2218178 ASKILI BÜRÜMCÜK ELBISE,24,ELBISE,ARKA KOL EVI TULUM,OVERLOK,1311,22.5,24.31
6412,BEBEK,T-Shirt,Kısa Kol,110401,MSBS24HMACR-BXC21 BABY TSHIRT,463,T-SHIRT,OMUZ ÇATMA,OVERLOK,1314,13.33,24.31
22113,ÇOCUK,Elbise,3/4 kol,106747,SBKS24DSPO2-BUB59 ELBISE,3,ELBISE,ARKA V TUTTURMA,DÜZ,1545,18.0,24.3
14170,ÇOCUK,Sweatshirt,Kapşonsuz,105322,CVKS24SSP22-BVE32 SWEATSHIRT,121,T-SHIRT,KOL MANSET HAZIRLIK,OVERLOK,154,20.0,24.3
46432,ÇOCUK,Elbise,Askılı elbise,130886,2218178 ASKILI BÜRÜMCÜK ELBISE,499,ELBISE,IPLIK TEMIZLEME,IPLIK TEMIZLEME,1288,20.0,24.3
46432,ÇOCUK,Elbise,Askılı elbise,135647,2218178 ASKILI BÜRÜMCÜK ELBISE,142,ELBISE,ASKILIK TUTTURMA,REÇME,773,17.0,24.29
14170,ÇOCUK,Sweatshirt,Kapşonsuz,104237,CVKS24SSP22-BVE32 SWEATSHIRT,209,T-SHIRT,YAKA TAKMA,OVERLOK,1330,20.0,24.29
27981,BAYAN,T-Shirt,Kısa Kol,117564,2222518 AMBER CEPLI T-SHIRT,518,T-SHIRT,SON KALITE KONTROL,MANUEL,623,20.0,24.29
6412,BEBEK,T-Shirt,Kısa Kol,110390,MSBS24HMACR-BXC21 BABY TSHIRT,213,T-SHIRT,BIYE UCU TUTTURMA,DÜZ,1306,20.0,24.29
46432,ÇOCUK,Elbise,Askılı elbise,130223,2218178 ASKILI BÜRÜMCÜK ELBISE,46,ELBISE,ALT ETEK BIRLESTIRME,DÜZ,1300,30.0,24.29
22113,ÇOCUK,Elbise,3/4 kol,106719,SBKS24DSPO2-BUB59 ELBISE,44,ELBISE,FIRMA ETIKET TAKMA,DÜZ,1502,18.0,24.29
14402,ÇOCUK,Sweatshirt,Kapşonsuz,153276,CVKW24SGPAR-CPL95 BASKILI SWEAT,472,T-SHIRT,OMUZ ÇATMA,OVERLOK,1532,24.0,24.28
27981,BAYAN,T-Shirt,Kısa Kol,114911,2222518 AMBER CEPLI T-SHIRT,417,T-SHIRT,IPLIK TEMIZLEME,IPLIK TEMIZLEME,1315,27.0,24.28
29172,BAYAN,Elbise,Kısa kollu elbise,117738,2222546 BEGOTANA ELBISE,203,ELBISE,KOL AGZI TUTTURMA,DÜZ,22,36.0,24.27
22113,ÇOCUK,Elbise,3/4 kol,109102,SBKS24DSPO2-BUB59 ELBISE,3,ELBISE,ARKA V TUTTURMA,DÜZ,1317,18.0,24.27
14402,ÇOCUK,Sweatshirt,Kapşonsuz,151675,CVKW24SGPAR-CPL95 BASKILI SWEAT,368,T-SHIRT,YAKA ALT KAPAMA,OVERLOK,51,13.84,24.27
13392,BAYAN,T-Shirt,Kısa Kol,139833,CDKW24HDNDR KIRMIZI TSHIRT,466,T-SHIRT,OMUZ KISTIRMA,DÜZ,218,17.0,24.26
13564,BAYAN,T-Shirt,Kısa Kol,110215,2222514 GIZELLI TEK KOLLI TSHIRT,299,T-SHIRT,KOL TAKMA,OVERLOK,1215,20.0,24.26
12711,ÇOCUK,T-Shirt,Kısa Kol,117030,2225749 KROSE YAKALI SHIRT,178,T-SHIRT,FIRMA ETIKET TAKMA,DÜZ,1179,17.0,24.26
46432,ÇOCUK,Elbise,Askılı elbise,128805,2218178 ASKILI BÜRÜMCÜK ELBISE,14,ELBISE,KOL KISTIRMA,DÜZ,1277,20.0,24.26
9143,BAYAN,Elbise,Kısa kollu elbise,138659,ARLW24RBATO MATERNITY HAMILE ELBISE,519,ELBISE,KOL ALTI EMNIYET,DÜZ,1096,24.0,24.26
12711,ÇOCUK,T-Shirt,Kısa Kol,117323,2225749 KROSE YAKALI SHIRT,519,T-SHIRT,BRIT TAKMA,DÜZ,1568,18.0,24.25
46432,ÇOCUK,Elbise,Askılı elbise,130854,2218178 ASKILI BÜRÜMCÜK ELBISE,343,ELBISE,BEDEN ÜTÜ,ÜTÜ,531,20.0,24.25
27981,BAYAN,T-Shirt,Kısa Kol,113487,2222518 AMBER CEPLI T-SHIRT,213,T-SHIRT,FIRMA ETIKET TAKMA,DÜZ,1320,20.0,24.25
9158,BAYAN,T-Shirt,Uzun Kol,141303,CDKW24HBARG -CLP12,299,T-SHIRT,ÖN KOL TAKMA,OVERLOK,1500,27.0,24.25
