UretimID,ModelAdi,PersonelNo,ModelTipAdi,OperAdi,MakinaTipi,Uretim,Etut,BirimUretimZamani
51,2218178 ASKILI BÜRÜMCÜK ELBISE,51,ELBISE,ÖN ARKA TULUM,REÇME,56,24.0,270.5
402,2222582 COMPONI,402,ELBISE,FIRMA ETIKT HAZIRLIK,DÜZ,2,5.5,270.5
540,2225749 KROSE YAKALI SHIRT,540,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,1,31.0,270.0
21,2228071 MILKY WAY SIYAH ELBISE,21,ELBISE,ASKILIK ÇIMA,DÜZ,1,34.0,269.0
569,2231665 OBONODY ZIBIN,569,T-SHIRT,ASKILIK TAKMA,DÜZ,105,24.0,268.54
616,2229267 SALOPET SET,616,ELBISE,BEDEN ÜTÜ,ÜTÜ,1,35.0,267.0
518,2222518 AMBER CEPLI T-SHIRT,518,T-SHIRT,ÖN KALITE KONTROL,MANUEL,3,48.0,267.0
471,2218178 ASKILI BÜRÜMCÜK ELBISE,471,ELBISE,BEDEN ÜTÜ,ÜTÜ,120,20.0,265.57
444,144430499 MIDI TUTU DRESS TÜL ELBISE,444,ELBISE,TÜL BIRLESTIRME,DÜZ,2,60.0,262.5
293,2219642 VARAK BASKILI T-SHIRT,293,T-SHIRT,TALIMAT HAZIRLIK,DÜZ,79,6.666,260.56
311,2228071 MILKY WAY SIYAH ELBISE,311,ELBISE,TALIMAT TAKMA,DÜZ,28,24.0,259.18
537,2218178 ASKILI BÜRÜMCÜK ELBISE,537,ELBISE,YAN ÇATMA,OVERLOK,36,24.82,258.06
507,2222582 COMPONI,507,ELBISE,KOL FIRFIR KIVIRMA,DÜZ,43,50.0,257.26
112,2220847 BEGONIA BLUZ,112,T-SHIRT,ALT ETEK HAZIRLIK,OVERLOK,24,36.0,251.79
33,2218178 ASKILI BÜRÜMCÜK ELBISE,33,ELBISE,ALT PARÇA YAN ÇATMA,OVERLOK,1,22.0,251.0
553,2229267 SALOPET SET,553,ELBISE,ARKA LASTIK TAKMA,OVERLOK,151,8.0,250.56
464,CDKW24HLELO -CLP91  LEOPARD TSHIRT,464,T-SHIRT,YAN ÇATMA,OVERLOK,55,60.0,249.98
130,SBKS24DSPO2-BUB59 ELBISE,130,ELBISE,DANTEL TUTTURMA,DÜZ,1,17.0,249.0
35,2222582 COMPONI,35,ELBISE,KOL TAKMA,OVERLOK,148,80.0,248.64
460,MSBS24HMACR-BXC21 BABY TSHIRT,460,T-SHIRT,KOL TAKMA,OVERLOK,7,40.0,248.29
63,2228071 MILKY WAY SIYAH ELBISE,63,ELBISE,FIRFIR KAPATMA,REÇME,11,55.0,246.82
329,2225885 JISOONA ELBISE,329,ELBISE,ÖN KALITE KONTROL,MANUEL,147,65.0,245.36
