SIPARIS_ADEDI,GIYSI_GRUBU,GIYSI_CINSI,GIYSI_CINSI_DETAYI,ModelID,SipID,HataAdi,HataAdedi,Tarih
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KAPTIRMA,3,2024-03-07
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,KUMAŞ LEKE,3,2024-01-10
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,DİKİŞ GÖRÜNMESİ,3,2023-12-27
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,KUMAŞ LEKE,3,2024-01-10
32073,BAYAN,T-Shirt,Uzun Kol,297,275,BÜZGÜ DAĞILIMI,3,2023-12-20
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,DİKİŞ YÖNÜ TERS,3,2023-12-28
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAS DEFOSU,3,2024-03-06
11635,BAYAN,Tulum,Kısa Kollu Tulum,355,331,KUMAŞ LEKE,3,2024-04-18
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,PATLAK,3,2024-01-11
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KAPTIRMA,3,2024-03-02
19349,BAYAN,T-Shirt,Uzun Kol,427,404,AKSESUAR HATASI,3,2024-07-29
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,AKSESUAR HATASI,3,2024-03-16
32073,BAYAN,T-Shirt,Uzun Kol,297,275,BÜZGÜ DAĞILIMI,3,2023-12-18
19349,BAYAN,T-Shirt,Uzun Kol,427,404,PATLAK,3,2024-08-02
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,DİKİŞ ATLAMASI,3,2024-03-18
19349,BAYAN,T-Shirt,Uzun Kol,427,404,KAPTIRMA,3,2024-08-06
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,SIMETRI,3,2024-03-18
14402,ÇOCUK,Sweatshirt,Kapşonsuz,414,391,PATLAK,3,2024-07-12
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,3,2023-12-22
32073,BAYAN,T-Shirt,Uzun Kol,297,275,DİKİŞ KESİĞİ,3,2024-01-16
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,KUMAŞ LEKE,3,2024-03-14
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,METO,3,2024-03-14
19349,BAYAN,T-Shirt,Uzun Kol,427,404,SIMETRI,3,2024-07-30
14402,ÇOCUK,Sweatshirt,Kapşonsuz,414,391,KUMAŞ LEKE,3,2024-07-17
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,3,2023-12-25
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,3,2023-12-27
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,3,2023-12-27
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,AYAR AÇIKLIĞI,3,2024-03-13
8650,BAYAN,Elbise,Kısa kollu elbise,352,328,KAPTIRMA,3,2024-04-17
15910,BAYAN,Bluz,Uzun Kollu,324,301,SIMETRI,3,2024-03-02
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAS DEFOSU,3,2024-03-04
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,PATLAK,3,2024-03-11
11635,BAYAN,Tulum,Kısa Kollu Tulum,355,331,KAPTIRMA,3,2024-04-25
4637,BAYAN,Elbise,Kolsuz elbise,349,325,EKSİK AKSESUAR,3,2024-03-29
4637,BAYAN,Elbise,Kolsuz elbise,349,325,EKSİK AKSESUAR,3,2024-03-30
23502,BAYAN,Bodysuit,Uzun Kollu,438,1414,PATLAK,3,2024-08-12
32073,BAYAN,T-Shirt,Uzun Kol,297,275,GİR-ÇIK EŞTSZ.,3,2023-12-14
32073,BAYAN,T-Shirt,Uzun Kol,297,275,EKSİK DİKİŞ,3,2023-12-14
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,DİKİŞ YÖNÜ TERS,3,2024-01-02
13392,BAYAN,T-Shirt,Kısa Kol,389,365,PATLAK,3,2024-05-30
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KAPTIRMA,3,2024-05-16
15870,BAYAN,T-Shirt,Kısa Kol,300,278,KUMAS DEFOSU,3,2024-01-03
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KUMAŞ LEKE,3,2024-03-01
9476,BAYAN,Elbise,uzun kollu elbise,398,375,JUT,3,2024-06-28
13564,BAYAN,T-Shirt,Kısa Kol,318,296,EKSİK DİKİŞ,3,2024-02-08
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KAPTIRMA,3,2024-03-02
32073,BAYAN,T-Shirt,Uzun Kol,297,275,DİKİŞ GÖRÜNMESİ,3,2023-12-14
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,3,2023-12-15
32073,BAYAN,T-Shirt,Uzun Kol,297,275,SIMETRI,3,2023-12-15
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,SIMETRI,3,2024-01-22
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAŞ LEKE,2,2024-03-15
9158,BAYAN,T-Shirt,Uzun Kol,388,364,KUMAŞ LEKE,2,2024-06-05
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,DİKİŞ ATLAMASI,2,2024-03-13
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KAPTIRMA,2,2024-03-13
11635,BAYAN,Tulum,Kısa Kollu Tulum,355,331,KAPTIRMA,2,2024-04-25
9476,BAYAN,Elbise,uzun kollu elbise,398,375,AYAR AÇIKLIĞI,2,2024-07-04
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KAPTIRMA,2,2024-02-28
9476,BAYAN,Elbise,uzun kollu elbise,398,375,AYAR AÇIKLIĞI,2,2024-06-24
9476,BAYAN,Elbise,uzun kollu elbise,398,375,JUT,2,2024-07-02
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KAPTIRMA,2,2024-02-24
9476,BAYAN,Elbise,uzun kollu elbise,398,375,PATLAK,2,2024-06-24
9476,BAYAN,Elbise,uzun kollu elbise,398,375,PATLAK,2,2024-07-02
9143,BAYAN,Elbise,Kısa kollu elbise,376,353,PATLAK,2,2024-05-28
11635,BAYAN,Tulum,Kısa Kollu Tulum,355,331,KUMAS DEFOSU,2,2024-04-04
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KAPTIRMA,2,2024-03-18
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,PATLAK,2,2024-03-14
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAS DEFOSU,2,2024-03-14
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,PATLAK,2,2024-03-12
9143,BAYAN,Elbise,Kısa kollu elbise,376,353,PATLAK,2,2024-05-27
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KUMAS DEFOSU,2,2024-02-24
9143,BAYAN,Elbise,Kısa kollu elbise,376,353,KAPTIRMA,2,2024-05-27
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ ATLAMASI,2,2024-02-24
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,KUMAŞ LEKE,2,2024-03-13
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,PATLAK,2,2024-03-13
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,METO,2,2024-03-13
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KAPTIRMA,2,2024-03-15
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,PATLAK,2,2024-03-01
11635,BAYAN,Tulum,Kısa Kollu Tulum,355,331,KUMAŞ LEKE,2,2024-04-23
9143,BAYAN,Elbise,Kısa kollu elbise,376,353,KAPTIRMA,2,2024-05-27
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAS DEFOSU,2,2024-03-01
6412,BEBEK,T-Shirt,Kısa Kol,317,295,DİKİŞ KESİĞİ,2,2024-02-14
11635,BAYAN,Tulum,Kısa Kollu Tulum,355,331,KUMAŞ LEKE,2,2024-04-15
6412,BEBEK,T-Shirt,Kısa Kol,317,295,DİKİŞ DALGALANMASI,2,2024-02-07
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,EKSİK AKSESUAR,2,2024-03-01
6412,BEBEK,T-Shirt,Kısa Kol,317,295,EKSİK DİKİŞ,2,2024-02-16
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAŞ LEKE,2,2024-03-06
9143,BAYAN,Elbise,Kısa kollu elbise,376,353,KUMAŞ LEKE,2,2024-05-20
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,KUMAŞ LEKE,2,2024-03-16
6412,BEBEK,T-Shirt,Kısa Kol,317,295,KUMAŞ LEKE,2,2024-02-15
6412,BEBEK,T-Shirt,Kısa Kol,317,295,KUMAŞ LEKE,2,2024-02-16
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,JUT,2,2024-03-06
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAS DEFOSU,2,2024-03-05
6412,BEBEK,T-Shirt,Kısa Kol,317,295,DİKİŞ KESİĞİ,2,2024-02-16
6412,BEBEK,T-Shirt,Kısa Kol,317,295,KAPTIRMA,2,2024-02-16
6412,BEBEK,T-Shirt,Kısa Kol,317,295,KUMAŞ LEKE,2,2024-02-07
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,PATLAK,2,2024-03-11
9143,BAYAN,Elbise,Kısa kollu elbise,376,353,KUMAŞ LEKE,2,2024-05-22
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KAPTIRMA,2,2024-03-07
9143,BAYAN,Elbise,Kısa kollu elbise,376,353,KUMAŞ LEKE,2,2024-05-22
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,GİR-ÇIK EŞTSZ.,2,2024-03-07
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAS DEFOSU,2,2024-03-08
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KAPTIRMA,2,2024-03-08
9143,BAYAN,Elbise,Kısa kollu elbise,376,353,KUMAŞ LEKE,2,2024-05-23
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAS DEFOSU,2,2024-03-11
6412,BEBEK,T-Shirt,Kısa Kol,317,295,KUMAŞ LEKE,2,2024-02-07
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAŞ LEKE,2,2024-03-01
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,DİKİŞ ATLAMASI,2,2024-03-07
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,EKSİK DİKİŞ,2,2024-03-16
9143,BAYAN,Elbise,Kısa kollu elbise,376,353,EKSİK DİKİŞ,2,2024-05-18
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,DİKİŞ ATLAMASI,2,2024-02-29
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,DİKİŞ GÖRÜNMESİ,2,2024-03-12
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KAPTIRMA,2,2024-05-15
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KAPTIRMA,2,2024-02-20
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KAPTIRMA,2,2024-04-25
8650,BAYAN,Elbise,Kısa kollu elbise,352,328,DİKİŞ GÖRÜNMESİ,2,2024-04-04
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KUMAŞ LEKE,2,2024-05-17
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,SIMETRI,2,2024-01-19
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,SIMETRI,2,2024-01-17
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,SIMETRI,2,2024-01-17
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,RENK FARKI,2,2024-01-18
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİM LEKE,2,2024-02-15
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,KUMAŞ LEKE,2,2024-01-11
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,GİR-ÇIK EŞTSZ.,2,2024-01-11
27981,BAYAN,T-Shirt,Kısa Kol,323,299,EKSİK DİKİŞ,2,2024-02-16
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KUMAŞ LEKE,2,2024-03-08
8650,BAYAN,Elbise,Kısa kollu elbise,352,328,PATLAK,2,2024-04-04
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,GİR-ÇIK EŞTSZ.,2,2024-01-10
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,DİKİŞ GÖRÜNMESİ,2,2024-01-10
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,KUMAŞ LEKE,2,2024-01-10
8650,BAYAN,Elbise,Kısa kollu elbise,352,328,KAPTIRMA,2,2024-04-04
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KUMAŞ LEKE,2,2024-05-06
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KAPTIRMA,2,2024-02-16
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,KUMAŞ LEKE,2,2024-01-10
27981,BAYAN,T-Shirt,Kısa Kol,323,299,PATLAK,2,2024-02-14
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,SIMETRI,2,2024-01-23
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KUMAŞ LEKE,2,2024-02-16
46432,ÇOCUK,Elbise,Askılı elbise,364,340,AYAR AÇIKLIĞI,2,2024-05-16
27981,BAYAN,T-Shirt,Kısa Kol,323,299,İĞNE DELİĞİ,2,2024-03-04
27981,BAYAN,T-Shirt,Kısa Kol,323,299,GİR-ÇIK EŞTSZ.,2,2024-03-04
27981,BAYAN,T-Shirt,Kısa Kol,323,299,İĞNE DELİĞİ,2,2024-03-02
27981,BAYAN,T-Shirt,Kısa Kol,323,299,İĞNE DELİĞİ,2,2024-03-02
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ KESİĞİ,2,2024-03-01
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ KESİĞİ,2,2024-03-01
27981,BAYAN,T-Shirt,Kısa Kol,323,299,PATLAK,2,2024-03-04
27981,BAYAN,T-Shirt,Kısa Kol,323,299,İĞNE DELİĞİ,2,2024-03-01
27981,BAYAN,T-Shirt,Kısa Kol,323,299,İĞNE DELİĞİ,2,2024-03-06
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,AKSESUAR HATASI,2,2024-01-23
13564,BAYAN,T-Shirt,Kısa Kol,318,296,GİR-ÇIK EŞTSZ.,2,2024-02-08
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ ATLAMASI,2,2024-03-07
13564,BAYAN,T-Shirt,Kısa Kol,318,296,PATLAK,2,2024-02-12
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KAPTIRMA,2,2024-05-13
13564,BAYAN,T-Shirt,Kısa Kol,318,296,GİR-ÇIK EŞTSZ.,2,2024-02-09
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KUMAŞ LEKE,2,2024-03-07
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KAPTIRMA,2,2024-05-09
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,SIMETRI,2,2024-01-23
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİM LEKE,2,2024-02-16
8650,BAYAN,Elbise,Kısa kollu elbise,352,328,DİKİŞ ATLAMASI,2,2024-04-04
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KAPTIRMA,2,2024-04-26
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KAPTIRMA,2,2024-03-20
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KAPTIRMA,2,2024-05-02
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,KUMAŞ LEKE,2,2024-03-08
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KAPTIRMA,2,2024-02-26
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KUMAŞ LEKE,2,2024-05-02
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,GİR-ÇIK EŞTSZ.,2,2024-02-26
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ KESİĞİ,2,2024-02-20
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,KUMAŞ LEKE,2,2024-03-08
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KUMAŞ LEKE,2,2024-03-02
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KUMAŞ LEKE,2,2024-02-21
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,DİKİŞ ATLAMASI,2,2024-02-28
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KAPTIRMA,2,2024-02-21
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ GÖRÜNMESİ,2,2024-02-21
27981,BAYAN,T-Shirt,Kısa Kol,323,299,PATLAK,2,2024-02-21
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ KESİĞİ,2,2024-02-21
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,AYAR AÇIKLIĞI,2,2024-03-19
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KAPTIRMA,2,2024-04-29
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,KAPTIRMA,2,2024-03-11
27981,BAYAN,T-Shirt,Kısa Kol,323,299,PATLAK,2,2024-02-22
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,EKSİK DİKİŞ,2,2024-02-28
27981,BAYAN,T-Shirt,Kısa Kol,323,299,EKSİK DİKİŞ,2,2024-02-20
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KUMAŞ LEKE,2,2024-05-06
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,2,2023-12-20
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KAPTIRMA,2,2024-02-19
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KAPTIRMA,2,2024-02-19
15910,BAYAN,Bluz,Uzun Kollu,324,301,KUMAŞ LEKE,2,2024-02-29
8650,BAYAN,Elbise,Kısa kollu elbise,352,328,KAPTIRMA,2,2024-04-05
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KUMAŞ LEKE,2,2024-02-19
27981,BAYAN,T-Shirt,Kısa Kol,323,299,PATLAK,2,2024-02-19
15910,BAYAN,Bluz,Uzun Kollu,324,301,KUMAŞ LEKE,2,2024-02-29
8650,BAYAN,Elbise,Kısa kollu elbise,352,328,KUMAŞ LEKE,2,2024-04-08
8650,BAYAN,Elbise,Kısa kollu elbise,352,328,KUMAŞ LEKE,2,2024-04-15
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAS DEFOSU,2,2024-02-29
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİM LEKE,2,2024-02-19
8650,BAYAN,Elbise,Kısa kollu elbise,352,328,KUMAŞ LEKE,2,2024-04-15
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİM LEKE,2,2024-02-20
46432,ÇOCUK,Elbise,Askılı elbise,364,340,PATLAK,2,2024-05-02
15910,BAYAN,Bluz,Uzun Kollu,324,301,KUMAŞ LEKE,2,2024-02-20
15910,BAYAN,Bluz,Uzun Kollu,324,301,KAPTIRMA,2,2024-03-04
8650,BAYAN,Elbise,Kısa kollu elbise,352,328,PATLAK,2,2024-04-16
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,PATLAK,2,2024-02-29
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KUMAŞ LEKE,2,2024-05-17
15910,BAYAN,Bluz,Uzun Kollu,324,301,DİKİŞ ATLAMASI,2,2024-02-21
14162,BAYAN,T-Shirt,Uzun Kol,306,284,PATLAK,2,2024-01-12
15870,BAYAN,T-Shirt,Kısa Kol,300,278,KUMAS DEFOSU,2,2024-01-04
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KAPTIRMA,2,2024-01-22
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,2,2024-01-22
13392,BAYAN,T-Shirt,Kısa Kol,389,365,PATLAK,2,2024-05-31
13392,BAYAN,T-Shirt,Kısa Kol,389,365,İĞNE DELİĞİ,2,2024-06-01
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,DİKİŞ ATLAMASI,2,2024-01-09
13392,BAYAN,T-Shirt,Kısa Kol,389,365,EKSİK DİKİŞ,2,2024-05-31
13392,BAYAN,T-Shirt,Kısa Kol,389,365,PATLAK,2,2024-05-30
15870,BAYAN,T-Shirt,Kısa Kol,300,278,BÜZGÜ DAĞILIMI,2,2024-01-03
15870,BAYAN,T-Shirt,Kısa Kol,300,278,AYAR AÇIKLIĞI,2,2024-01-03
13392,BAYAN,T-Shirt,Kısa Kol,389,365,PATLAK,2,2024-05-30
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAS DEFOSU,2,2024-05-30
22113,ÇOCUK,Elbise,3/4 kol,309,287,SIMETRI,2,2024-02-03
15870,BAYAN,T-Shirt,Kısa Kol,300,278,KUMAŞ LEKE,2,2023-12-20
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,2,2023-12-14
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KAPTIRMA,2,2023-12-14
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,2,2023-12-14
32073,BAYAN,T-Shirt,Uzun Kol,297,275,SIMETRI,2,2023-12-15
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KAPTIRMA,2,2023-12-15
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KAPTIRMA,2,2023-12-18
32073,BAYAN,T-Shirt,Uzun Kol,297,275,PATLAK,2,2023-12-18
32073,BAYAN,T-Shirt,Uzun Kol,297,275,SIMETRI,2,2023-12-18
4887,ÇOCUK,Sweatshirt,Kapşonlu,405,380,PATLAK,2,2024-07-06
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,2,2024-01-19
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,2,2024-06-01
13392,BAYAN,T-Shirt,Kısa Kol,389,365,PATLAK,2,2024-06-01
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,2,2024-01-19
22113,ÇOCUK,Elbise,3/4 kol,309,287,SIMETRI,2,2024-01-18
13392,BAYAN,T-Shirt,Kısa Kol,389,365,DİKİŞ GÖRÜNMESİ,2,2024-06-06
13392,BAYAN,T-Shirt,Kısa Kol,389,365,JUT,2,2024-06-06
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAS DEFOSU,2,2024-06-06
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,SIMETRI,2,2024-01-10
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,2,2024-06-06
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KAPTIRMA,2,2024-01-10
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,GİR-ÇIK EŞTSZ.,2,2024-01-11
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,DARLI-GENİŞLİ DİKİM,2,2024-01-11
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAS DEFOSU,2,2024-06-05
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAS DEFOSU,2,2024-06-05
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,2,2024-01-13
13392,BAYAN,T-Shirt,Kısa Kol,389,365,DİKİŞ ATLAMASI,2,2024-06-04
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,2,2024-01-16
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,2,2024-06-04
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,DİKİM LEKE,2,2024-01-16
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAS DEFOSU,2,2024-01-17
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,2,2024-06-03
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,2,2024-06-04
13392,BAYAN,T-Shirt,Kısa Kol,389,365,PATLAK,2,2024-06-03
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,2,2024-06-03
32073,BAYAN,T-Shirt,Uzun Kol,297,275,SIMETRI,2,2023-12-19
4887,ÇOCUK,Sweatshirt,Kapşonlu,405,380,PATLAK,2,2024-07-05
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,2,2023-12-20
19349,BAYAN,T-Shirt,Uzun Kol,427,404,KAPTIRMA,2,2024-08-07
19349,BAYAN,T-Shirt,Uzun Kol,427,404,KAPTIRMA,2,2024-08-05
19349,BAYAN,T-Shirt,Uzun Kol,427,404,SIMETRI,2,2024-07-31
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,2,2023-12-26
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,2,2023-12-26
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,2,2023-12-27
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,2,2023-12-27
19349,BAYAN,T-Shirt,Uzun Kol,427,404,PATLAK,2,2024-07-29
23502,BAYAN,Bodysuit,Uzun Kollu,438,1414,AKSESUAR HATASI,2,2024-08-07
23502,BAYAN,Bodysuit,Uzun Kollu,438,1414,SIMETRI,2,2024-08-22
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,DİKİŞ YÖNÜ TERS,2,2023-12-27
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KAPTIRMA,2,2023-12-27
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,2,2023-12-28
23502,BAYAN,Bodysuit,Uzun Kollu,438,1414,KAPTIRMA,2,2024-08-22
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAS DEFOSU,2,2023-12-29
23502,BAYAN,Bodysuit,Uzun Kollu,438,1414,KAPTIRMA,2,2024-08-21
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KAPTIRMA,2,2023-12-29
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,DİKİŞ ATLAMASI,2,2024-01-02
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KAPTIRMA,2,2024-01-02
24118,ÇOCUK,T-Shirt,Uzun Kol,447,1423,JUT,2,2024-08-21
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,2,2024-01-03
24118,ÇOCUK,T-Shirt,Uzun Kol,447,1423,KUMAS DEFOSU,2,2024-08-22
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,GİR-ÇIK EŞTSZ.,2,2023-12-25
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,2,2023-12-22
4887,ÇOCUK,Sweatshirt,Kapşonlu,405,380,DİKİŞ GÖRÜNMESİ,2,2024-07-04
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,2,2023-12-21
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,2,2023-12-21
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,2,2023-12-21
32073,BAYAN,T-Shirt,Uzun Kol,297,275,İĞNE DELİĞİ,2,2023-12-21
14402,ÇOCUK,Sweatshirt,Kapşonsuz,414,391,KAPTIRMA,2,2024-07-22
32073,BAYAN,T-Shirt,Uzun Kol,297,275,GİR-ÇIK EŞTSZ.,2,2023-12-25
